MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.01172	s	10/19/2023 3:07:35 PM
Time	Ch 1 LVDT	Ch 1 Force
s	mm	N
25.311523	2.1016681	976.54639
25.411133	2.1096718	976.56299
25.510742	2.1175075	977.23303
25.610352	2.1265376	976.93628
25.709961	2.1344411	977.08228
25.80957	2.1434498	977.5224
25.90918	2.151171	977.99481
26.008789	2.1578085	977.7674
26.108398	2.1676612	977.81976
26.208008	2.1750569	978.13086
26.307617	2.1843946	978.1441
26.407227	2.1923804	978.7005
26.506836	2.2010136	978.76746
26.606445	2.2091782	978.66101
26.706055	2.2176826	978.84674
26.805664	2.2257864	979.34058
26.905273	2.2337794	979.37805
27.004883	2.2426021	979.48236
27.104492	2.251482	979.66479
27.204102	2.2597039	980.27271
27.303711	2.2678399	980.21741
27.40332	2.277292	980.11395
27.50293	2.2854066	979.9021
27.602539	2.2954488	980.16486
27.702148	2.3046541	980.49548
27.801758	2.310698	980.53149
27.901367	2.3194814	980.7514
28.000977	2.3283684	980.8139
28.100586	2.3362613	980.95752
28.200195	2.3432314	980.47522
28.299805	2.3519576	981.20966
28.399414	2.3613274	981.61121
28.499023	2.3691094	981.81934
28.598633	2.3775315	981.43787
28.698242	2.3859429	981.34241
28.797852	2.3945832	982.00818
28.897461	2.402966	981.84576
28.99707	2.4110234	981.56738
29.09668	2.4179327	982.25702
29.196289	2.4276173	982.48676
29.295898	2.4354422	982.77356
29.395508	2.4450552	982.75574
29.495117	2.4536026	982.74121
29.594727	2.4617994	983.0553
29.694336	2.4706972	982.87244
29.793945	2.4789262	983.13647
29.893555	2.4865508	983.14935
29.993164	2.495935	983.03973
30.092773	2.5042713	983.46454
30.192383	2.5136161	983.32074
30.291992	2.5195956	983.46082
30.391602	2.5277996	983.35669
30.491211	2.5351882	983.37659
30.59082	2.5432205	983.21191
30.69043	2.5505912	983.77576
30.790039	2.5590062	984.36938
30.889648	2.5688016	984.28247
30.989258	2.5762653	984.45374
31.088867	2.5858855	984.7135
31.188477	2.5937748	984.62958
31.288086	2.6013064	985.0105
31.387695	2.6111376	985.56775
31.487305	2.6178646	985.4248
31.586914	2.6260436	985.79218
31.686523	2.6349127	985.23724
31.786133	2.6438248	985.88611
31.885742	2.6519287	985.45276
31.985352	2.6595497	985.78693
32.084961	2.668072	985.70642
32.18457	2.6752102	985.82269
32.28418	2.6864791	985.68665
32.383789	2.6928699	986.04614
32.483398	2.7006733	986.11951
32.583008	2.7093852	986.06677
32.682617	2.7177429	986.95758
32.782227	2.726444	986.96973
32.881836	2.7343225	986.59991
32.981445	2.741729	986.69519
33.081055	2.7517569	986.90631
33.180664	2.7603793	986.89398
33.280273	2.7675426	987.11261
33.379883	2.7770948	987.09235
33.479492	2.7842867	987.13483
33.579102	2.7927053	987.55237
33.678711	2.8005052	987.26447
33.77832	2.8093493	987.63373
33.87793	2.8178823	988.12994
33.977539	2.8266978	987.9762
34.077148	2.8351736	988.01971
34.176758	2.8435385	988.05377
34.276367	2.8514886	988.3512
34.375977	2.8586304	988.20697
34.475586	2.8668022	988.19672
34.575195	2.8777421	988.77649
34.674805	2.8843296	988.47961
34.774414	2.8925872	988.35846
34.874023	2.9008555	988.32214
34.973633	2.9093564	988.45105
35.073242	2.9180181	988.89471
35.172852	2.9249811	989.14191
35.272461	2.9328132	989.11102
35.37207	2.9404986	988.75763
35.47168	2.9493964	989.19171
35.571289	2.9577684	989.30261
35.670898	2.9670131	989.56616
35.770508	2.9748881	989.56036
35.870117	2.983278	989.59222
35.969727	2.9908919	989.30432
36.069336	2.9995751	989.65533
36.168945	3.0083477	989.94745
36.268555	3.015672	990.05389
36.368164	3.0235934	989.97754
36.467773	3.034637	990.14954
36.567383	3.0420327	990.47803
36.666992	3.0496073	990.00671
36.766602	3.0582333	990.2464
36.866211	3.067317	990.82092
36.96582	3.0760753	990.48462
37.06543	3.0821621	990.58386
37.165039	3.0919111	990.90204
37.264648	3.0997825	990.83716
37.364258	3.1074607	990.67413
37.463867	3.1157613	990.97247
37.563477	3.1236792	991.01575
37.663086	3.1327236	990.90039
37.762695	3.1400907	991.49182
37.862305	3.1496251	991.42944
37.961914	3.1579185	991.21747
38.061523	3.1658256	991.89178
38.161133	3.1744015	991.91266
38.260742	3.1833673	991.88715
38.360352	3.1930625	991.66528
38.459961	3.2008481	992.12195
38.55957	3.2067955	992.23633
38.65918	3.2161796	992.17163
38.758789	3.224777	991.94623
38.858398	3.2332027	991.93445
38.958008	3.2407308	992.04224
39.057617	3.2499433	992.28113
39.157227	3.2572174	992.43506
39.256836	3.26599	992.39459
39.356445	3.2737255	992.38177
39.456055	3.2821119	992.66132
39.555664	3.2915103	992.65485
39.655273	3.2976329	992.43457
39.754883	3.3067453	992.42505
39.854492	3.3143735	992.60004
39.954102	3.3232641	992.88037
40.053711	3.3309639	992.83984
40.15332	3.3391607	992.72174
40.25293	3.3479691	992.86847
40.352539	3.3552718	992.88177
40.452148	3.3634365	993.68134
40.551758	3.3725846	993.43408
40.651367	3.3806705	993.58716
40.750977	3.3878767	994.04694
40.850586	3.3975077	993.81213
40.950195	3.4058654	993.68481
41.049805	3.4136939	993.51935
41.149414	3.4236073	994.427
41.249023	3.431747	994.12683
41.348633	3.4401691	993.82581
41.448242	3.4481442	993.78333
41.547852	3.4576213	993.85114
41.647461	3.4654355	993.9104
41.74707	3.4721875	994.09723
41.84668	3.4801483	994.32336
41.946289	3.4884667	993.96039
42.045898	3.497225	994.62964
42.145508	3.5061085	994.22278
42.245117	3.514123	994.3609
42.344727	3.5227704	994.86737
42.444336	3.5312176	994.84167
42.543945	3.5395467	994.80841
42.643555	3.5495567	995.17133
42.743164	3.5550785	995.17908
42.842773	3.5627139	995.00909
42.942383	3.5724592	995.21252
43.041992	3.581264	995.01984
43.141602	3.5892391	995.18079
43.241211	3.5991347	994.91919
43.34082	3.6067736	995.25964
43.44043	3.6162114	995.69739
43.540039	3.6229742	995.29761
43.639648	3.6307311	995.14783
43.739258	3.6396253	995.38757
43.838867	3.6476433	995.46338
43.938477	3.6557937	995.70386
44.038086	3.663851	995.50537
44.137695	3.6727738	995.84998
44.237305	3.6809671	995.32953
44.336914	3.6893642	996.09027
44.436523	3.6977041	995.70062
44.536133	3.7064338	995.73962
44.635742	3.7143338	995.7865
44.735352	3.7222981	995.94495
44.834961	3.7308884	996.16376
44.93457	3.7401688	996.13629
45.03418	3.7478006	996.2287
45.133789	3.7557685	996.48157
45.233398	3.7639439	996.44623
45.333008	3.7718368	996.52856
45.432617	3.7809706	996.47131
45.532227	3.7896287	996.52966
45.631836	3.7979114	996.72021
45.731445	3.8059402	996.72101
45.831055	3.8146734	996.94098
45.930664	3.8228559	996.66052
46.030273	3.830874	996.79456
46.129883	3.8394964	996.73877
46.229492	3.8469458	997.12659
46.329102	3.8551533	996.76453
46.428711	3.8646626	996.70343
46.52832	3.8724804	996.98944
46.62793	3.8806415	997.48517
46.727539	3.8883913	997.36359
46.827148	3.8966739	997.61542
46.926758	3.9053197	997.42279
47.026367	3.9132447	997.24213
47.125977	3.9223659	997.3111
47.225586	3.9313889	997.59747
47.325195	3.9399128	997.4953
47.424805	3.9488215	997.70624
47.524414	3.9559007	997.06958
47.624023	3.9642353	997.92896
47.723633	3.9729576	997.51782
47.823242	3.981791	997.53528
47.922852	3.9904976	997.73578
48.022461	3.9960356	998.16235
48.12207	4.0059133	997.90881
48.22168	4.0146394	997.87897
48.321289	4.0218439	997.98364
48.420898	4.0310903	998.32111
48.520508	4.0392852	997.89044
48.620117	4.0477128	997.81238
48.719727	4.0560918	997.96283
48.819336	4.0644069	998.16168
48.918945	4.0718098	998.17999
49.018555	4.0796614	997.9812
49.118164	4.0901899	998.2674
49.217773	4.0987978	998.22137
49.317383	4.1055145	998.3667
49.416992	4.1128278	998.19751
49.516602	4.1218133	998.1062
49.616211	4.1309328	998.04169
49.71582	4.1376076	998.75
49.81543	4.1452684	998.71588
49.915039	4.1545076	998.51031
50.014648	4.1637897	998.57208
50.114258	4.1708317	998.60449
50.213867	4.1803193	998.67206
50.313477	4.1878562	998.41333
50.413086	4.1967344	998.52625
50.512695	4.2058306	999.14905
50.612305	4.2130404	999.32013
